FID,C_EDPP,NUMIND,DHMOS,COMMUNE,DD,DESCRIPT,WATERNAME,PRELEV,REGION,NOMOS,PROVINCE,codeau,longitude,latitude,the_geom
2c8a3e04-2024-4b22-96d5-5168a05d1245.0,64090703,GR1270090564090703,ΠΑΛΛΗΝΗΣ,PALLINIS,ΠΕΥΚΟΧΩΡΙΟΥ,ΞΕΝΟΔΟΧΕΙΟ 'KOSTIS',ΠΕΥΚΟΧΩΡΙ,PEFKOCHORI - HOTEL 'KOSTIS',KENTRIKI MAKEDONIA,ΧΑΛΚΙΔΙΚΗΣ,Chalkidiki,1,23.61264038,39.9892807,POINT (466780.07582458615 4426352.612100476)
2c8a3e04-2024-4b22-96d5-5168a05d1245.1,22010801,GR2220010122010801,ΚΕΡΚΥΡΑ-ΚΕΡΚΥΡΑΙΩΝ,KERKYRAION,ΚΕΡΚΥΡΑ-ΚΕΡΚΥΡΑΣ,ΞΕΝΟΔΟΧΕΙΟ 'KONTOKALI BAY',ΚΟΝΤΟΚΑΛΙ,KONTOKALI - HOTEL 'KONTOKALI BAY',IONIA NISIA,ΚΕΡΚΥΡΑΣ,KERKYRA,1,19.87361145,39.65027618,POINT (145773.22386071837 4396798.980936952)
2c8a3e04-2024-4b22-96d5-5168a05d1245.2,22040601,GR2220040822040601,ΚΕΡΚΥΡΑ-ΕΣΠΕΡΙΩΝ,ESPERION,ΚΕΡΚΥΡΑ-ΚΑΡΟΥΣΑΔΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΑΣΤΡΑΚΕΡΗ,ASTRAKERI,IONIA NISIA,ΚΕΡΚΥΡΑΣ,KERKYRA,1,19.76944351,39.80416489,POINT (137639.71564307806 4414303.851390641)
2c8a3e04-2024-4b22-96d5-5168a05d1245.3,22090301,GR2220090922090301,ΚΕΡΚΥΡΑ-ΜΕΛΙΤΕΙΕΩΝ,MELITEIEON,ΚΕΡΚΥΡΑ-ΧΛΟΜΟΥ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΙΣΣΟΣ,ISOS,IONIA NISIA,ΚΕΡΚΥΡΑΣ,KERKYRA,1,19.94444466,39.4402771,POINT (150800.62790193636 4373204.1197549105)
2c8a3e04-2024-4b22-96d5-5168a05d1245.4,22120201,GR2220120522120201,ΚΕΡΚΥΡΑ-ΠΑΡΕΛΙΩΝ,PARELION,ΚΕΡΚΥΡΑ-ΓΙΑΝΝΑΔΩΝ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ ΕΡΜΟΝΕΣ,ΕΡΜΟΝΕΣ,ERMONES - HOTEL ERMONES,IONIA NISIA,ΚΕΡΚΥΡΑΣ,KERKYRA,1,19.76722145,39.62361145,POINT (136501.33582540823 4394263.674642631)
2c8a3e04-2024-4b22-96d5-5168a05d1245.5,06050102,GR2440050106050102,ΑΤΑΛΑΝΤΗΣ,ATALANTIS,ΑΤΑΛΑΝΤΗΣ,ΑΡΙΣΤΕΡΑ ΔΗΜΟΤΙΚΟΥ ΚΑΦΕΝΕΙΟΥ,ΣΚΑΛΑ ΑΤΑΛΑΝΤΗΣ,SKALA ATALANTIS -ARISTERA DIMOTIKOU KAFENEIOU,STEREA ELLADA,ΦΘΙΩΤΙΔΑΣ,Fthiotida,1,23.08888817,35.5233345,POINT (417241.4702935686 3931173.8255478195)
2c8a3e04-2024-4b22-96d5-5168a05d1245.6,06070301,GR2440070106070301,ΔΑΦΝΟΥΣΙΩΝ,DAFNOUSION,ΛΙΒΑΝΑΤΩΝ,HOTEL ΤΣΑΡΟΥΧΑΣ,"ΛΙΒΑΝΑΤΕΣ,ΚΥΑΝΗ ΑΚΤΗ","LIVANATES,KYANI AKTI - HOTEL 'TSAROUCHAS'",STEREA ELLADA,ΦΘΙΩΤΙΔΑΣ,Fthiotida,1,23.07777786,38.72166824,POINT (419680.4935579552 4286006.516674828)
2c8a3e04-2024-4b22-96d5-5168a05d1245.7,06070401,GR2440070106070401,ΔΑΦΝΟΥΣΙΩΝ,DAFNOUSION,ΛΙΒΑΝΑΤΩΝ,BAR 'FRANTIC',"ΛΙΒΑΝΑΤΕΣ,ΣΧΟΙΝΙΑΣ","LIVANATES,SCHOINIAS - BAR 'FRANTIC'",STEREA ELLADA,ΦΘΙΩΤΙΔΑΣ,Fthiotida,1,23.07777786,38.72166824,POINT (419680.4935579552 4286006.516674828)
2c8a3e04-2024-4b22-96d5-5168a05d1245.8,82080601,GR4220080182080601,ΙΟΣ-ΙΗΤΩΝ,IOU,ΙΟΣ-ΙΟΥ,ΑΡΙΣΤΕΡΟ ΑΚΡΟ ΑΚΤΗΣ,ΙΟΣ-ΜΥΛΟΠΟΤΑΣ,MYLOPOTAMOS,NOTIO AIGAIO,ΚΥΚΛΑΔΩΝ,Kyklades,1,25.29722214,36.71944427,POINT (615698.1420872812 4064245.702921391)
2c8a3e04-2024-4b22-96d5-5168a05d1245.9,61010101,GR1250010161010101,ΚΑΤΕΡΙΝΗΣ,KATERINIS,ΚΑΤΕΡΙΝΗΣ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ,OLYMPIAKI AKTI,KENTRIKI MAKEDONIA,ΠΙΕΡΙΑΣ,Pieria,1,22.60555649,40.23500061,POINT (381227.39355170744 4454486.446659503)
