FID,objectid,id,KODE,NAME,FEK,UPDATED,ZONE,area_,perimeter,hectares,shape_area,shape_len,the_geom
d7b8a08d-e95b-41d3-a49d-d3a827b830df.0,139,0,ΕΠ5,Εθνικό πάρκο λιμνοθαλασσών Μεσσολογγίου-Αιτωλικού,477 / 31-05-06,2006,ΠΦ2 - Περιοχή προστασίας της φύσης,0,12746.68359375,262.22601318,2622257.25,12746.68359375,"MULTIPOLYGON (((254883.29690000042 4243199.069, 255225.2873999998 4243474.0026, 255480.10390000045 4243661.762, 255573.9836 4243715.4076, 255714.8032999998 4243789.1703, 255667.86340000015 4243795.876, 255654.45199999958 4243836.1101, 255835.5058000004 4243856.2272, 256090.3222000003 4243889.7557, 256205.84669999965 4243939.2662, 256210.79690000042 4243934, 256239.20309999958 4243904, 256259 4243885, 256276.5 4243874, 256301.5938 4243861, 256348.0938 4243842, 256401.0938 4243829, 256495.4063 4243790, 256587.0938 4243749, 256680 4243709, 256771.4063 4243658, 256863.75960000046 4243613.6586, 256869.29690000042 4243611, 256966 4243566, 257032.5 4243535, 257075.20309999958 4243517, 257117.9063 4243499, 257148 4243482, 257228.0938 4243438, 257299.79690000042 4243409, 257343.9063 4243396, 257382.9063 4243379, 257402.79690000042 4243363, 257412.29690000042 4243340, 257436.20309999958 4243329, 257465.29690000042 4243325, 257489.0938 4243313, 257496.0938 4243288, 257499.5939 4243275.4995, 257503.0938 4243263, 257516 4243223, 257530.5938 4243196, 257550.5 4243181, 257591.0938 4243180, 257612.79690000042 4243181, 257639 4243163, 257647.5 4243148, 257670.79690000042 4243119, 257692.0938 4243107, 257716.29690000042 4243106, 257737.5 4243094, 257749.70309999958 4243073, 257759.5 4243059, 257800.20309999958 4243059, 257828.29690000042 4243069, 257864.0938 4243077, 257873.66139999963 4243076.5572, 257885.70309999958 4243076, 257940.0938 4243068, 258004.5 4243051, 258055 4243040, 258133.4063 4243027, 258207.9063 4243009, 258288.79690000042 4242997, 258364.79690000042 4242989, 258439.5938 4242982, 258511.70309999958 4242970, 258561 4242961, 258592.76460000034 4242954.8427, 258622.9063 4242949, 258683.1244 4242948.0317, 258685.0938 4242948, 258738.4063 4242946, 258786.70309999958 4242946, 258839.9467000002 4242936.2109, 258841.0938 4242936, 258878.79690000042 4242922, 258934.4063 4242909, 258997.4063 4242892, 259054.20309999958 4242878, 259099.5938 4242863, 259147.5 4242852, 259196.79690000042 4242842, 259255.20309999958 4242839, 259290.9063 4242846, 259304.9063 4242845, 259321.29690000042 4242842, 259330.64059999958 4242839.5, 259340.20309999958 4242837, 259362.29690000042 4242833, 259380.70309999958 4242829, 259399.9063 4242828, 259423 4242832, 259437.5 4242844, 259449.29690000042 4242857, 259462.70309999958 4242878, 259479.79690000042 4242895, 259492.79690000042 4242906, 259507.0938 4242915, 259543.4063 4242939, 259560.20309999958 4242946, 259589.29690000042 4242945, 259609.29690000042 4242936, 259619.5 4242937, 259640 4242943, 259659.5 4242957, 259689.0938 4242968, 259700.5 4242967, 259727.0938 4242966, 259767.9063 4242970, 259788.70309999958 4242983, 259809.70309999958 4243006, 259811.09090000018 4243007.4935, 259825.5 4243023, 259854.20309999958 4243045, 259877.5938 4243062, 259893 4243066, 259917.4063 4243074, 259942.79690000042 4243075, 259961.9063 4243076, 259979.9063 4243083, 259987.79690000042 4243091, 259997 4243101, 260008.5938 4243107, 260035.29690000042 4243107, 260045.2315999996 4243107, 260053.0938 4243107, 260059.9063 4243122, 260059.9254 4243122.6121, 260060.0938 4243128, 260060.29690000042 4243135, 260067.20309999958 4243150, 260081.20309999958 4243149, 260083.2149 4243147.3572, 260091 4243141, 260099.79690000042 4243137, 260118.41440000013 4243140.878, 260119 4243141, 260131.9063 4243149, 260144.70309999958 4243151, 260154.79690000042 4243149, 260158.29690000042 4243141, 260157.9063 4243129, 260150 4243120, 260139.80460000038 4243111.7096, 260129.0938 4243103, 260105.4063 4243075, 260088.29690000042 4243057, 260071 4243034, 260067.75310000032 4243030.3002, 260055.20309999958 4243016, 260031.70309999958 4242997, 259999 4242969, 259976.9063 4242953, 259946 4242940, 259929.4063 4242937, 259909 4242935, 259887.29690000042 4242933, 259865.5938 4242929, 259847.5 4242918, 259837.0938 4242911, 259821.5938 4242905, 259806.20309999958 4242899, 259772.5 4242877, 259757.20309999958 4242876, 259742 4242877, 259716.5938 4242878, 259675.9063 4242875, 259636.5 4242874, 259604.5938 4242869, 259554.5938 4242853, 259517.0938 4242834, 259488.70309999958 4242819, 259461.20309999958 4242793, 259446.79690000042 4242781, 259424.5 4242761, 259408.79690000042 4242748, 259389.4063 4242742, 259375.20309999958 4242742, 259358 4242745, 259328.7188 4242775, 259328.75 4242776, 259321.6765 4242787.1592, 259305.29690000042 4242813, 259279.70309999958 4242804, 259252.79690000042 4242796, 259211.79690000042 4242781, 259190 4242776, 259133.5938 4242753, 259077.4063 4242740, 259030.0938 4242729, 258938.70309999958 4242683, 258865.4063 4242647, 258822.07830000017 4242624.3437, 258802.29690000042 4242614, 258749.29690000042 4242578, 258706.79690000042 4242553, 258657.79690000042 4242527, 258612.79690000042 4242504, 258592 4242486, 258570 4242471, 258535.70309999958 4242468, 258492.20309999958 4242458, 258457.5938 4242447, 258439.5938 4242438, 258416.4063 4242425, 258375.29690000042 4242407, 258334.0938 4242386, 258294.20309999958 4242362, 258259.70309999958 4242357, 258221.5 4242353, 258150.4063 4242355, 258118.70309999958 4242356, 258065.5 4242359, 258040.1063000001 4242368.7401, 258029 4242373, 257997.4063 4242382, 257955.5938 4242386, 257907.5938 4242394, 257857 4242404, 257804.29690000042 4242427, 257725.29690000042 4242470, 257700.20309999958 4242479, 257658.9063 4242503, 257617.5938 4242529, 257579.9063 4242542, 257544.79690000042 4242564, 257504.79690000042 4242586, 257454.5 4242607, 257413.29690000042 4242633, 257367.9063 4242648, 257336.4063 4242657, 257292.29690000042 4242673, 257247.0938 4242692, 257210.70309999958 4242707, 257179.20309999958 4242718, 257139 4242737, 257093.70309999958 4242753, 257043.4063 4242773, 257004.4063 4242788, 256966.70309999958 4242801, 256915.0938 4242821, 256873.4063 4242831, 256797.79690000042 4242855, 256719.45249999966 4242878.1295, 256689.4063 4242887, 256547.20309999958 4242936, 256443.79690000042 4242967, 256335.20309999958 4242993, 256231.5 4243008, 256153.20309999958 4243026, 256063.5 4243044, 255972.29690000042 4243057, 255896.5938 4243075, 255843.0083 4243084.504, 255823.29690000042 4243088, 255793 4243095, 255761.4063 4243101, 255723.29690000042 4243104, 255684.0938 4243110, 255617.4063 4243134, 255559.20309999958 4243141, 255531.29690000042 4243143, 255480.5938 4243149, 255426 4243151, 255327 4243151, 255278.5 4243144, 255211 4243136, 255163.9063 4243132, 255122 4243132, 255052.0938 4243130, 254995.79690000042 4243115, 254944.70309999958 4243105, 254903.1245 4243090.1494, 254894.2137000002 4243200.0493, 254883.4797 4243194.6823, 254883.29690000042 4243199.069), (255858.32440000027 4243530.8348, 255812.04459999967 4243510.0089, 255927.00519999955 4243345.4062, 256036.7402999997 4243361.0827, 256130.79899999965 4243447.3031, 256062.86780000012 4243543.9745, 255976.87849999964 4243577.4148, 255968.8091000002 4243580.5529, 255858.32440000027 4243530.8348)))"
d7b8a08d-e95b-41d3-a49d-d3a827b830df.1,140,0,ΕΠ5,Εθνικό πάρκο λιμνοθαλασσών Μεσσολογγίου-Αιτωλικού,477 / 31-05-06,2006,ΠΠ3 - Περιφερειακή περιοχή,0,1611.30200195,10.12899971,101288.8671875,1611.30212402,"MULTIPOLYGON (((246965.42399999965 4250540.2693, 247239.64319999982 4250595.1131, 247192.426 4249934.0726, 247149.81280000042 4249942.5953, 246965.42399999965 4250540.2693)))"
d7b8a08d-e95b-41d3-a49d-d3a827b830df.2,141,0,ΕΠ5,Εθνικό πάρκο λιμνοθαλασσών Μεσσολογγίου-Αιτωλικού,477 / 31-05-06,2006,ΠΦ2 - Περιοχή προστασίας της φύσης,0,11995.19824219,415.54400635,4155442.5,11995.19824219,"MULTIPOLYGON (((246945.4288 4250605.0811, 246954.79690000042 4250606, 246972.9063 4250618, 246973.29690000042 4250632, 246969.9063 4250649, 246962.79690000042 4250669, 246963.29690000042 4250688, 246973.79690000042 4250703, 246985.5938 4250716, 246987.4063 4250736, 246988 4250760, 246989.13690000027 4250764.6747, 246993.5938 4250783, 247008.20309999958 4250805, 247029 4250824, 247047.20309999958 4250839, 247062.79690000042 4250852, 247112.29690000042 4250855, 247119.79690000042 4250850, 247123.29690000042 4250836, 247127.97900000028 4250821.7306, 247129.20309999958 4250818, 247136.4063 4250802, 247142.4063 4250789, 247144.5938 4250775, 247144 4250754, 247148.5 4250731, 247154.4063 4250711, 247162.4063 4250677, 247166.79690000042 4250651, 247183 4250637, 247199.20309999958 4250625, 247214.4063 4250625, 247223.5 4250632, 247214 4250657, 247205.5938 4250678, 247208.5 4250691, 247229.0938 4250702, 247234.5 4250713, 247240 4250731, 247246.79690000042 4250749, 247249.3881 4250754.2724, 247252.20309999958 4250760, 247263.79690000042 4250767, 247271.4063 4250767, 247277.5 4250759, 247286.4063 4250758, 247297 4250773, 247303.79690000042 4250790, 247309.0938 4250802, 247327.0938 4250809, 247347.29690000042 4250804, 247367.4063 4250798, 247381.29690000042 4250795, 247384.8372 4250794.6511, 247401.5938 4250793, 247420.70309999958 4250792, 247451.29690000042 4250799, 247479.5 4250807, 247517.79690000042 4250814, 247529.39169999957 4250816.7937, 247551 4250822, 247575.4063 4250833, 247607.5 4250847, 247630.70309999958 4250859, 247652.5938 4250870, 247678.0938 4250877, 247692.20309999958 4250881, 247715 4250880, 247729.79690000042 4250859, 247741.9063 4250836, 247757.70309999958 4250809, 247769.70309999958 4250783, 247778.9946999997 4250765.3291, 247781.79690000042 4250760, 247792.5938 4250736, 247812.20309999958 4250705, 247829.4063 4250685, 247843 4250670, 247864.29690000042 4250658, 247887.0938 4250655, 247906.0938 4250654, 247921.29690000042 4250654, 247936.5938 4250653, 247961 4250665, 247966.4063 4250677, 247964.20309999958 4250691, 247959.9063 4250721, 247961.43209999986 4250735.8509, 247963.29690000042 4250754, 247964 4250781, 247966 4250811, 247963.39659999963 4250842.3532, 247963.0938 4250846, 247955.20309999958 4250883, 247949.70309999958 4250917, 247950.4063 4250945, 247951.20309999958 4250976, 247943.20309999958 4251012, 247927.5 4251041, 247908.20309999958 4251081, 247890 4251115, 247869.29690000042 4251148, 247846.0938 4251186, 247825.6629999997 4251213.7419, 247824 4251216, 247808 4251234, 247794.4063 4251252, 247785.79690000042 4251262, 247770.0938 4251292, 247748.0938 4251326, 247744.2505 4251329.9911, 248618.38480000012 4251888.8638, 248741.1495000003 4251860.5335, 248873.35759999976 4251615.0042, 249279.2762000002 4250443.3754, 249043.23220000044 4250431.2706, 248905.4008 4250308.7537, 248857.4238 4250266.1076, 248756.39379999973 4250114.5625, 248733.5515999999 4250080.2992, 248657.85190000013 4249922.018, 248650.97009999957 4249722.4461, 248644.0883 4249467.8198, 248681.4244 4249417.347, 248972.54449999984 4249023.7957, 249015.705 4248965.4491, 249058.59420000017 4248927.1225, 249339.1492 4248676.4138, 249355.78330000024 4248593.2435, 249374.2938000001 4248500.691, 249380.4400000004 4248469.9601, 249325.3855999997 4248394.2604, 249215.27699999977 4248387.3786, 248926.24170000013 4248490.6055, 248891.8131 4248515.5365, 248726.977 4248634.9006, 248726.66980000027 4248635.1231, 248533.9797 4248779.6407, 248348.17129999958 4248999.858, 248238.06259999983 4249082.4395, 248117.90600000042 4249142.5178, 248114.19039999973 4249144.3756, 247969.67279999983 4249158.1392, 247770.10080000013 4249158.1392, 247639.3468000004 4249123.7303, 247453.5384 4249027.3852, 247442.4994 4249008.8873, 247164.0957000004 4249896.2989, 247149.81280000042 4249942.5953, 247192.426 4249934.0726, 247239.64319999982 4250595.1131, 246965.42399999965 4250540.2693, 246945.4288 4250605.0811)))"
d7b8a08d-e95b-41d3-a49d-d3a827b830df.3,142,0,ΕΠ6,Εθνικό Πάρκο Πίνδου,639 / 14-06-05,2006,Εξωτερικά όρια,0,300864.75,146258.78125,1462587904,300864.75,"MULTIPOLYGON (((232040.10599999968 4409087.0822, 231830.74579999968 4409005.1587, 231393.8202 4409032.4665, 231266.3836000003 4409096.1849, 231248.17839999963 4409296.4424, 231066.1261 4409287.3398, 230938.68950000033 4409278.2372, 230765.73979999963 4409169.0058, 230610.9952999996 4409014.2613, 230720.22670000046 4409041.5692, 230565.48220000044 4408832.209, 230192.27500000037 4408540.9253, 229992.01740000024 4408650.1567, 229837.273 4408650.1567, 229737.1442 4408650.1567, 229700.7337 4408722.9776, 229664.32330000028 4408713.875, 229664.32330000028 4408540.9253, 229582.3997 4408513.6174, 229545.98919999972 4408422.5913, 229491.37359999958 4408422.5913, 229527.784 4408358.873, 229445.86050000042 4408358.873, 229327.5264999997 4408185.9233, 229109.06369999982 4408049.384, 229109.06369999982 4408231.4364, 229054.44799999986 4408258.7442, 228772.26690000016 4408113.1024, 228581.11199999973 4408103.9997, 228499.18840000033 4408222.3337, 228408.1623 4408304.2573, 228280.7257000003 4408340.6677, 228262.5203999998 4408413.4887, 228116.8786000004 4408495.4122, 228016.74980000034 4408531.8227, 227971.23670000024 4408604.6436, 227898.4158 4408604.6436, 227807.38960000034 4408768.4907, 227752.77390000038 4408814.0038, 227716.3635 4408814.0038, 227643.54260000028 4408868.6195, 227598.02950000018 4408905.0299, 227652.64520000014 4408968.7482, 227652.64520000014 4409096.1849, 227516.10589999985 4409096.1849, 227415.9772 4409187.211, 227437.6473000003 4409091.9051, 227369.9291000003 4409139.7062, 227353.99540000036 4408920.6179, 227302.2109000003 4408892.734, 227381.8794 4408781.1981, 227357.9787999997 4408761.281, 227226.52589999977 4408813.0655, 227210.59219999984 4408785.1816, 227294.24409999978 4408733.3971, 227373.91249999963 4408645.7618, 227350.0120000001 4408621.8612, 227190.67509999964 4408709.4965, 226943.7028 4408801.1153, 226856.0674999999 4408773.2313, 226756.48199999984 4408705.5131, 226640.9627 4408693.5628, 226525.44340000022 4408649.7452, 226386.0236 4408562.1099, 226338.22250000015 4408474.4746, 226246.6037999997 4408394.8061, 226198.80269999988 4408279.2868, 226290.7895 4408245.8402, 226323.483 4408320.1435, 226400.75850000046 4408373.6419, 226439.3962000003 4408468.7502, 226721.7489 4408569.8028, 226810.91289999988 4408596.552, 227001.1294 4408557.9142, 227051.6557 4408498.4715, 227167.5689000003 4408439.0289, 227227.01159999985 4408418.2239, 227277.53789999988 4408323.1157, 227336.9804999996 4408311.2271, 227387.50679999962 4408245.8402, 227497.4757000003 4408162.6205, 227580.69550000038 4408094.2614, 227622.3054 4407963.4875, 227652.02670000028 4407909.9891, 227711.46939999983 4407865.4071, 227759.02350000013 4407746.5218, 227753.07919999957 4407609.8036, 227871.9645999996 4407600.8872, 227937.3515 4407541.4445, 228029.4877000004 4407583.0544, 228154.31730000023 4407538.4724, 228246.4534 4407588.9987, 228401.00430000015 4407529.556, 228427.7536000004 4407464.1691, 228499.0848000003 4407443.3641, 228570.4160000002 4407386.8936, 228629.8586 4407315.5624, 228695.2456 4407259.0919, 228730.9112 4407065.9032, 228787.3816999998 4407042.1261, 228826.01939999964 4406890.5473, 228852.7686999999 4406860.826, 228950.84910000023 4406875.6866, 229016.23599999957 4406828.1325, 229054.87370000035 4406798.4111, 229126.20490000024 4406735.9963, 229265.89520000014 4406602.2503, 229316.42150000017 4406486.3371, 229381.80840000045 4406420.9502, 229482.2749 4406238.9248, 229564.82490000036 4406408.8806, 229642.3470999999 4406554.7645, 230118.4489000002 4406847.7502, 230228.31859999988 4406790.1994, 230327.72449999955 4406675.0979, 230468.98550000042 4406617.5471, 230547.4638 4406596.6196, 230521.3043999998 4406737.8806, 230599.78270000033 4406716.953, 230704.4205 4406832.0545, 230777.6668999996 4406832.0545, 230877.0728000002 4406936.6923, 230976.47869999986 4406784.9676, 231044.49320000038 4406638.4747, 231002.6381 4406471.0542, 230767.20309999958 4406387.344, 230803.82629999984 4406282.7062, 230992.1743 4406188.5323, 231060.18890000042 4406089.1264, 231023.56570000015 4405979.2567, 231159.5948 4405911.2422, 231306.0876000002 4405895.5465, 231363.6383999996 4405822.3, 231264.2325 4405785.6768, 231290.392 4405675.8072, 231389.79789999966 4405675.8072, 231337.47900000028 4405545.01, 231389.79789999966 4405518.8505, 231436.8849 4405560.7056, 231457.81240000017 4405529.3143, 231551.98639999982 4405545.01, 231578.1458 4405461.2997, 231567.68209999986 4405388.0533, 231756.0301 4405272.9517, 231688.0155 4405147.3864, 231829.2764999997 4405105.5313, 231860.6678 4405021.8211, 231918.21860000025 4405079.3719, 231944.37810000032 4405016.5892, 231975.76939999964 4404953.8065, 232069.94340000022 4404823.0093, 232117.03039999958 4404922.4152, 232174.5811 4404917.1833, 232211.20440000016 4404812.5455, 232258.29140000045 4404781.1542, 232258.29140000045 4404645.1251, 232258.29140000045 4404582.3425, 232321.074 4404660.8208, 232420.4798999997 4404660.8208, 232457.1031 4404681.7483, 232488.4945 4404603.27, 232598.3640999999 4404618.9657, 232509.42200000025 4404509.096, 232603.596 4404493.4003, 232598.3640999999 4404373.0669, 232713.4656999996 4404409.6901, 232713.4656999996 4404362.6031, 232891.3498999998 4404493.4003, 232959.3644000003 4404467.2409, 232912.2774 4404315.5161, 232927.9731 4404195.1827, 233016.9151999997 4404242.2697, 233079.6979 4404169.0233, 233268.04590000026 4404242.2697, 233336.06039999984 4404284.1248, 233404.0750000002 4404284.1248, 233377.91550000012 4404221.3421, 233252.35020000022 4403923.1245, 233330.82849999983 4403949.2839, 233393.61120000016 4403938.8202, 233487.7851999998 4403870.8056, 233581.9592000004 4403865.5737, 233655.2056 4403808.0229, 233697.06070000026 4403630.1387, 233770.3071999997 4403677.2257, 233806.9304 4403457.4864, 233927.26379999984 4403509.8053, 233969.11890000012 4403352.8486, 234115.6118 4403462.7183, 234105.148 4403358.0805, 234152.23500000034 4403263.9065, 234235.9452999998 4403342.3849, 234309.19170000032 4403201.1239, 234371.97439999972 4403185.4282, 234476.61209999956 4403248.2109, 234502.77159999963 4403138.3412, 234607.4093000004 4403143.5731, 234691.11959999986 4403070.3266, 234722.5109000001 4402991.8483, 234769.5979000004 4402991.8483, 234800.98919999972 4402929.0657, 234853.3081 4402934.2975, 234900.3951000003 4402923.8338, 234952.7139999997 4402997.0802, 234957.9458999997 4402949.9932, 234963.1777999997 4402793.0365, 235031.19230000023 4402782.5728, 235088.7431 4402813.9641, 235099.20689999964 4402772.109, 235146.2939 4402751.1814, 235188.1490000002 4402813.9641, 235214.30840000045 4402766.8771, 235282.32299999986 4402782.5728, 235250.93159999978 4402620.3842, 235376.49700000044 4402625.6161, 235303.2505 4402468.6595, 235507.29420000035 4402479.1232, 235517.75800000038 4402395.413, 235674.7145999996 4402426.8043, 235695.64219999965 4402348.326, 235800.27990000043 4402364.0217, 235899.6858 4402337.8622, 235915.38150000013 4402212.2969, 235972.93230000045 4402207.065, 235543.9173999997 4402086.7316, 235784.58430000022 4401992.5576, 235857.83069999982 4401825.1372, 235910.14960000012 4401448.4412, 236103.72950000037 4401401.3542, 236140.3526999997 4401322.8759, 236255.45430000033 4401291.4845, 236328.7007 4401097.9046, 236459.49789999984 4400956.6437, 236595.52699999977 4400940.948, 236537.97620000038 4400825.8464, 236595.52699999977 4400752.6, 236705.3967000004 4400736.9043, 236736.7879999997 4400653.1941, 236773.4112 4400579.9477, 236893.7446999997 4400689.8173, 236935.5998 4400611.339, 237050.70129999984 4400700.2811, 237139.6434000004 4400611.339, 237087.3245000001 4400501.4693, 237024.5418999996 4400443.9186, 237055.93319999985 4400334.0489, 237181.49849999975 4400396.8316, 237254.7450000001 4400339.2808, 237244.2812 4400260.8025, 237307.06390000042 4400208.4836, 237343.6871 4400161.3966, 237505.8756 4400020.1356, 237631.44099999964 4399816.0919, 237605.28149999958 4399648.6715, 237783.16569999978 4399564.9613, 237913.9628999997 4399366.1495, 237987.2094 4399188.2653, 238034.29640000034 4398853.4244, 237934.8905 4398377.3226, 238002.90500000026 4398120.96, 238029.06450000033 4397665.7857, 237893.0354000004 4397173.9882, 237744.83239999972 4396401.0981, 237685.91550000012 4396427.0722, 237521.90780000016 4396499.3767, 237325.0373999998 4397001.7357, 237121.3783999998 4397381.8992, 236802.3125 4398257.6332, 236803.6919 4398336.2591, 236809.10109999962 4398644.5854, 236483.2467 4399282.7171, 236374.62849999964 4399309.8716, 236342.4171000002 4399253.9107, 236346.6749999998 4399349.7146, 236188.9129999997 4399369.4348, 236120.61890000012 4399391.8438, 235873.38900000043 4399472.9661, 235483.9140999997 4399694.819, 235316.29200000037 4399808.2104, 234981.0477 4400104.0141, 234852.86610000022 4400153.3148, 234621.1531999996 4400296.2866, 234409.16050000023 4400301.2166, 234226.74820000026 4400419.5381, 234157.72730000038 4400557.5799, 233871.8655000003 4400838.9751, 233842.20330000017 4400868.1738, 233359.0571999997 4401311.8795, 232688.5686999997 4401997.1581, 232623.2358 4402050.3923, 232422.34530000016 4402214.0809, 232294.16370000038 4402406.3533, 231983.5697 4402712.0172, 231776.5071 4402904.2896, 231564.51439999975 4403121.2124, 231382.10209999979 4403362.7854, 231283.50090000033 4403446.5965, 230800.3547 4403757.1904, 230627.8026 4404092.4347, 230528.8586 4404252.0216, 230474.97059999965 4404338.9378, 230213.67729999963 4404619.9514, 230139.5270999996 4404660.1161, 229977.0343000004 4404748.133, 229631.9299 4404886.1747, 229449.5176 4404940.4054, 229077.87640000042 4404991.0838, 228473.36519999988 4405073.5171, 228152.9112 4405108.0276, 227719.06570000015 4405039.0067, 227453.41679999977 4404975.0529, 227396.43730000034 4404961.3354, 227377.28270000033 4404974.3016, 227194.8337000003 4405097.8055, 226710.04980000015 4405209.6787, 225692.39389999956 4405460.4626, 225427.14780000038 4405537.1866, 225370.8553 4406333.323, 225351.9178 4406352.6435, 225351.45859999955 4406355.5243, 221402.9759 4410606.6279, 221040.0075000003 4410997.4151, 220741.0382000003 4411249.1787, 220379.12810000032 4412035.9398, 220127.36450000014 4412838.4362, 220032.0581 4413924.249, 219856.02610000037 4415929.7564, 219686.77830000035 4417857.9723, 219671.95909999963 4417980.2305, 219560.8964999998 4418896.497, 219685.93269999977 4419177.8285, 219602.39300000016 4419188.6577, 219423.48730000015 4419653.8128, 219047.7851 4419940.0621, 218868.87930000015 4420083.1867, 218725.75459999964 4420190.5302, 218119.61309999973 4421025.2169, 217634.4293 4421693.3389, 217745.7374 4421758.5885, 218153.25609999988 4421997.4788, 218171.1467000004 4422355.2903, 218457.3958999999 4424251.6918, 217992.24089999963 4424305.3635, 217914.77219999954 4424437.9276, 217639.1838999996 4424909.5135, 217120.5491000004 4425796.9995, 217011.67480000015 4425983.3048, 217011.63129999954 4425983.4428, 217010.0822 4425988.348, 216953.35319999978 4425994.4822, 216902.14130000025 4425966.2273, 216401.88300000038 4425887.5704, 215252.6875 4425706.8793, 214627.4704 4427426.2263, 214529.7692999998 4427887.175, 214341.15139999986 4428777.0648, 214192.05140000023 4429480.5111, 214940.079 4430329.02, 215890.74820000026 4430769.4036, 216458.46339999977 4431032.3892, 222018.4298 4435833.1634, 222104.59889999963 4436346.4078, 222158.0482 4436664.7648, 222479.0148 4436718.2592, 222689.6722 4436753.3688, 222866.88019999955 4436871.5075, 223470.51269999985 4437606.3645, 223546.1776 4437698.4782, 224072.1562 4438049.1306, 224474.34779999964 4437860.3468, 224943.4896999998 4437640.1373, 225920.2039 4438226.1658, 225954.4742 4438246.7281, 225917.7111999998 4438595.9773, 226539.47300000023 4438614.8185, 228344.074 4438669.5034, 228375.63549999986 4438583.4267, 228727.432 4440811.4711, 228874.4444000004 4441742.5495, 230150.6763000004 4442240.3705, 231009.2927000001 4442575.2918, 231225.8947 4443319.8612, 231493.7973 4444240.7763, 231312.10809999984 4446602.7362, 230857.88499999978 4447586.8862, 230845.79250000045 4447573.8802, 230841.24089999963 4447592.5924, 232284.96609999985 4447765.4327, 233225.37729999982 4447878.0172, 235035.1639 4448094.6818, 241295.08970000036 4447107.4533, 241011.33150000032 4446998.6285, 243254.78390000015 4446653.482, 244097.72240000032 4445513.0357, 245210.61419999972 4444007.3586, 245699.5718 4442684.297, 247051.39570000023 4441476.2841, 247583.43329999968 4441859.8461, 249524.9457 4443259.5412, 249885.8674 4442573.0823, 250261.8923000004 4441857.8977, 250991.8185 4440469.6068, 250502.8609 4438945.2096, 250128.95210000034 4438571.3009, 249799.5996000003 4438564.0624, 247511.591 4438513.7765, 244836.70550000016 4437852.2456, 244854.3565999996 4437630.3461, 244886.98309999984 4437220.1841, 245038.04090000037 4435321.1711, 245958.4316999996 4434947.2624, 246312.4989 4435157.7357, 251135.6294999998 4438024.8189, 252073.22690000013 4437557.6537, 259390.3838 4433911.8228, 260489.86309999973 4434208.1669, 266753.5097000003 4435896.4153, 266428.8838 4435330.401, 265631.7835 4433940.5851, 266753.46860000025 4433561.8342, 267846.47360000014 4433192.7676, 268996.9620000003 4432387.4257, 269009.1679999996 4431966.3216, 269030.20689999964 4431240.4779, 269054.48649999965 4430402.8332, 268162.858 4429913.8756, 266983.60730000027 4429223.5826, 266648.3372999998 4429670.6093, 266034.45440000016 4430489.1198, 265373.7496999996 4430167.944, 263963.5752999997 4429482.4425, 263600.72670000046 4431850.5066, 263417.09329999983 4433048.9565, 262841.8491000002 4433135.2432, 262510.6787 4432884.94, 260368.29899999965 4431265.6995, 256655.15110000037 4430011.2577, 253983.0883 4429108.5337, 254981.6821999997 4429138.4916, 256859.30929999985 4429194.8204, 257456.3663999997 4428662.8968, 258441.23089999985 4427785.4721, 258067.3222000003 4426807.5569, 259534.19489999954 4423586.1894, 259649.24370000046 4422809.6097, 260018.64180000033 4423028.5942, 264452.53280000016 4425657.0685, 265459.2101999996 4425513.2575, 266609.69859999977 4426146.0261, 266736.43620000035 4426063.3711, 267271.2293999996 4425714.5929, 268076.9106999999 4426117.4336, 269859.8284 4427008.8924, 270009.4934 4425915.1866, 270177.12069999985 4424690.2179, 270607.6458 4421544.0725, 269371.403 4420636.4512, 268335.43120000046 4419875.8643, 268191.6201999998 4419329.3823, 268809.21279999986 4418334.0884, 269090.4263000004 4417880.893, 269886.0735 4415960.9617, 268586.54810000025 4415133.991, 267889.3794999998 4415063.5699, 265662.6157999998 4414838.6443, 265780.7544999998 4413598.1882, 264569.8331000004 4411028.672, 264097.2784000002 4409965.4239, 264564.134 4409643.0712, 265337.73450000025 4409108.9185, 264200.23539999966 4409077.4462, 260828.2731 4408984.1508, 257865.46320000011 4408902.1758, 257792.3056 4409018.2189, 257515.53309999965 4409633.2687, 257161.1233 4410420.8462, 253005.83239999972 4411988.4659, 250659.32650000043 4412873.7056, 248894.48220000044 4413539.5085, 248629.42399999965 4413437.563, 247690.3383 4411714.3864, 246529.34740000032 4409584.0243, 243205.0186 4409109.7067, 242808.0927 4409053.073, 242415.9347 4414790.9636, 242219.3060999997 4417667.9495, 242137.4282999998 4417572.4254, 241133.3501000004 4416401.0008, 240917.778 4416149.5001, 240879.6806 4415974.3749, 238996.4746000003 4407317.7022, 238601.2182 4407472.9815, 238128.78920000046 4407658.5786, 237774.0270999996 4407619.1606, 237292.0926 4407565.6123, 236610.3398000002 4407596.6011, 236361.4972 4408283.8805, 235959.5757 4409393.9494, 235556.7218000004 4409424.9382, 234977.0100999996 4408935.4039, 234162.2274000002 4408247.3651, 233181.95990000013 4409035.8411, 232736.7441999996 4409393.9494, 232178.94639999978 4408991.0955, 232158.43599999975 4408974.9801, 232040.10599999968 4409087.0822)))"
